pageURL,pageTitle,redirectURL
automation,Automation,https://www.sglavoie.com/category/automation.html
github,GitHub,https://github.com/sglavoie
hackerrank,HackerRank,https://www.hackerrank.com/sglavoie
linkedin,LinkedIn,https://www.linkedin.com/in/sglavoie/
resume,Resume,https://drive.google.com/file/d/1t6GdZjC13naJXVGe6RinGowZLfkRzjy_/view
stackoverflow,Stack Overflow,https://stackoverflow.com/users/8787680/s%c3%a9bastien-lavoie
tips,Tips,https://www.sglavoie.com/category/tips-and-tricks.html
tools,Tools,https://www.sglavoie.com/category/tools.html
twitter,Twitter,https://twitter.com/sgdlavoie
workflow,Workflow,https://www.sglavoie.com/category/workflow.html
